userHours,eocHourly,locTotalNoContract,locTotal,increaseOverCurrent,numCOLAs,numSteps
1,20,1775.84,1914.49,138.65,2,0
2,20,3551.69,3828.99,277.3,2,0
3,20,5327.53,5743.48,415.95,2,0
4,20,7103.38,7657.98,554.6,2,0
5,20,8879.22,9572.47,693.24,2,0
6,20,10655.07,11486.96,831.89,2,0
7,20,12430.91,13401.46,970.54,2,0
8,20,14206.76,15315.95,1109.19,2,0
9,20,15982.6,17230.45,1247.84,2,0
10,20,17758.45,19144.94,1386.49,2,0
11,20,19534.29,21059.43,1525.14,2,0
12,20,21310.14,22973.93,1663.79,2,0
13,20,23085.98,24888.42,1802.44,2,0
14,20,24861.83,26802.91,1941.09,2,0
15,20,26637.67,28717.41,2079.73,2,0
16,20,28413.52,30631.9,2218.38,2,0
17,20,30189.36,32546.4,2357.03,2,0
18,20,31965.21,34460.89,2495.68,2,0
19,20,33741.05,36375.38,2634.33,2,0
20,21,35516.9,39245.78,3728.88,2,1
21,21,37292.74,41208.07,3915.32,2,1
22,21,39068.59,43170.36,4101.77,2,1
23,21,40844.43,45132.64,4288.21,2,1
24,21,42620.28,47094.93,4474.65,2,1
25,21,44396.12,49057.22,4661.1,2,1
26,21,46171.97,51019.51,4847.54,2,1
27,21,47947.81,52981.8,5033.99,2,1
28,21,49723.66,54944.09,5220.43,2,1
29,21,51499.5,56906.38,5406.87,2,1
30,21,53275.35,58868.67,5593.32,2,1
31,21,55051.19,60830.96,5779.76,2,1
32,21,56827.04,62793.24,5966.21,2,1
33,21,58602.88,64755.53,6152.65,2,1
34,21,60378.73,66717.82,6339.09,2,1
35,21,62154.57,68680.11,6525.54,2,1
36,21,63930.42,70642.4,6711.98,2,1
37,21,65706.26,72604.69,6898.43,2,1
38,21,67482.11,74566.98,7084.87,2,1
39,22,69257.95,78393.27,9135.32,2,2
40,22,71033.8,80403.36,9369.56,2,2
41,22,73697.57,83418.48,9720.92,2,2
42,22,76361.33,86433.61,10072.27,2,2
43,22,79025.1,89448.73,10423.63,2,2
44,22,81688.87,92463.86,10774.99,2,2
45,22,84352.64,95478.99,11126.35,2,2
46,22,87016.4,98494.11,11477.71,2,2
47,22,89680.17,101509.24,11829.07,2,2
48,22,92343.94,104524.36,12180.43,2,2
49,22,95007.7,107539.49,12531.78,2,2
50,22,97671.47,110554.61,12883.14,2,2
51,22,100335.24,113569.74,13234.5,2,2
52,22,102999.01,116584.87,13585.86,2,2
53,22,105662.77,119599.99,13937.22,2,2
54,22,108326.54,122615.12,14288.58,2,2
55,22,110990.31,125630.24,14639.93,2,2
56,22,113654.08,128645.37,14991.29,2,2
57,22,116317.84,131660.5,15342.65,2,2
58,22,118981.61,134675.62,15694.01,2,2
59,22,121645.38,137690.75,16045.37,2,2
60,22,124309.15,140705.87,16396.73,2,2
61,22,126972.91,143721,16748.08,2,2
62,22,129636.68,146736.12,17099.44,2,2
63,22,132300.45,149751.25,17450.8,2,2
64,22,134964.22,152766.38,17802.16,2,2
65,22,137627.98,155781.5,18153.52,2,2
66,22,140291.75,158796.63,18504.88,2,2
67,22,142955.52,161811.75,18856.24,2,2
68,22,145619.29,164826.88,19207.59,2,2
69,22,148283.05,167842.01,19558.95,2,2
70,22,150946.82,170857.13,19910.31,2,2
