userHours,eocHourly,locTotalNoContract,locTotal,increaseOverCurrent,numCOLAs,numSteps
66,23,152491.03,172183.57,19692.54,2,3
67,23,155386.43,175452.88,20066.45,2,3
68,23,158281.83,178722.19,20440.36,2,3
69,23,161177.23,181991.5,20814.27,2,3
70,23,164072.63,185260.81,21188.18,2,3
71,23,166968.03,188530.11,21562.08,2,3
72,23,169863.43,191799.42,21935.99,2,3
73,23,172758.83,195068.73,22309.9,2,3
74,23,175654.23,198338.04,22683.81,2,3
75,23,178549.63,201607.35,23057.72,2,3
76,23,181445.03,204876.66,23431.63,2,3
77,23,184340.43,208145.96,23805.54,2,3
78,23,187235.83,211415.27,24179.45,2,3
79,23,190131.23,214684.58,24553.36,2,3
80,23,193026.63,217953.89,24927.27,2,3
81,23,195922.02,221223.2,25301.17,2,3
82,23,198817.42,224492.51,25675.08,2,3
83,23,201712.82,227761.82,26048.99,2,3
84,23,204608.22,231031.12,26422.9,2,3
85,23,207503.62,234300.43,26796.81,2,3
86,23,210399.02,237569.74,27170.72,2,3
87,23,213294.42,240839.05,27544.63,2,3
88,23,216189.82,244108.36,27918.54,2,3
89,23,219085.22,247377.67,28292.45,2,3
90,23,221980.62,250646.97,28666.35,2,3
91,23,224876.02,253916.28,29040.26,2,3
92,23,227771.42,257185.59,29414.17,2,3
93,23,230666.82,260454.9,29788.08,2,3
94,23,233562.22,263724.21,30161.99,2,3
95,23,236457.62,266993.52,30535.9,2,3
96,23,239353.02,270262.82,30909.81,2,3
97,23,242248.41,273532.13,31283.72,2,3
98,23,245143.81,276801.44,31657.63,2,3
99,23,248039.21,280070.75,32031.54,2,3
100,23,250934.61,283340.06,32405.44,2,3
101,23,253830.01,286609.37,32779.35,2,3
102,23,256725.41,289878.67,33153.26,2,3
103,23,259620.81,293147.98,33527.17,2,3
104,23,262516.21,296417.29,33901.08,2,3
105,23,265411.61,299686.6,34274.99,2,3
106,23,268307.01,302955.91,34648.9,2,3
107,23,271202.41,306225.22,35022.81,2,3
108,23,274097.81,309494.52,35396.72,2,3
109,23,276993.21,312763.83,35770.63,2,3
110,23,279888.61,316033.14,36144.53,2,3
111,23,282784.01,319302.45,36518.44,2,3
112,23,285679.41,322571.76,36892.35,2,3
113,23,288574.8,325841.07,37266.26,2,3
114,23,291470.2,329110.37,37640.17,2,3
115,23,294365.6,332379.68,38014.08,2,3
116,23,297261,335648.99,38387.99,2,3
117,23,300156.4,338918.3,38761.9,2,3
118,23,303051.8,342187.61,39135.81,2,3
119,23,305947.2,345456.92,39509.72,2,3
120,23,308842.6,348726.22,39883.62,2,3
121,23,311738,351995.53,40257.53,2,3
122,23,314633.4,355264.84,40631.44,2,3
123,23,317528.8,358534.15,41005.35,2,3
124,23,320424.2,361803.46,41379.26,2,3
125,23,323319.6,365072.77,41753.17,2,3
126,23,326215,368342.07,42127.08,2,3
127,23,329110.4,371611.38,42500.99,2,3
128,23,332005.8,374880.69,42874.9,2,3
129,23,334901.19,378150,43248.8,2,3
130,23,337796.59,381419.31,43622.71,2,3
131,23,340691.99,384688.62,43996.62,2,3
132,23,343587.39,387957.92,44370.53,2,3
133,23,346482.79,391227.23,44744.44,2,3
134,23,349378.19,394496.54,45118.35,2,3
135,23,352273.59,397765.85,45492.26,2,3
136,23,355168.99,401035.16,45866.17,2,3
137,23,358064.39,404304.47,46240.08,2,3
138,23,360959.79,407573.77,46613.99,2,3
139,23,363855.19,410843.08,46987.89,2,3
140,23,366750.59,414112.39,47361.8,2,3
