userHours,eocHourly,locTotalNoContract,locTotal,increaseOverCurrent,numCOLAs,numSteps
1,20,1930.27,2088.29,158.03,2,0
2,20,3860.53,4176.59,316.06,2,0
3,20,5790.8,6264.88,474.08,2,0
4,20,7721.07,8353.18,632.11,2,0
5,20,9651.33,10441.47,790.14,2,0
6,20,11581.6,12529.76,948.17,2,0
7,20,13511.86,14618.06,1106.19,2,0
8,20,15442.13,16706.35,1264.22,2,0
9,20,17372.4,18794.65,1422.25,2,0
10,20,19302.66,20882.94,1580.28,2,0
11,20,21232.93,22971.23,1738.3,2,0
12,20,23163.2,25059.53,1896.33,2,0
13,21,25093.46,27204.31,2110.84,2,1
14,21,27023.73,29296.94,2273.22,2,1
15,21,28953.99,31389.58,2435.59,2,1
16,21,30884.26,33482.22,2597.96,2,1
17,21,32814.53,35574.86,2760.34,2,1
18,21,34744.79,37667.5,2922.71,2,1
19,21,36675.06,39760.14,3085.08,2,1
20,21,38605.33,42374.18,3768.85,2,1
21,21,40535.59,44492.89,3957.3,2,1
22,21,42465.86,46611.6,4145.74,2,1
23,21,44396.12,48730.3,4334.18,2,1
24,21,46326.39,50849.01,4522.62,2,1
25,21,48256.66,52967.72,4711.07,2,1
26,22,50186.92,55877.22,5690.3,2,2
27,22,52117.19,58026.35,5909.16,2,2
28,22,54047.46,60175.47,6128.01,2,2
29,22,55977.72,62324.59,6346.87,2,2
30,22,57907.99,64473.72,6565.73,2,2
31,22,59838.25,66622.84,6784.59,2,2
32,22,61768.52,68771.96,7003.44,2,2
33,22,63698.79,70921.09,7222.3,2,2
34,22,65629.05,73070.21,7441.16,2,2
35,22,67559.32,75219.34,7660.02,2,2
36,22,69489.59,77368.46,7878.88,2,2
37,22,71419.85,79517.58,8097.73,2,2
38,22,73350.12,81666.71,8316.59,2,2
39,23,75280.38,85002.02,9721.63,2,3
40,23,77210.65,87181.56,9970.91,2,3
41,23,80106.05,90450.86,10344.81,2,3
42,23,83001.45,93720.17,10718.72,2,3
43,23,85896.85,96989.48,11092.63,2,3
44,23,88792.25,100258.79,11466.54,2,3
45,23,91687.65,103528.1,11840.45,2,3
46,23,94583.05,106797.41,12214.36,2,3
47,23,97478.45,110066.71,12588.27,2,3
48,23,100373.85,113336.02,12962.18,2,3
49,23,103269.24,116605.33,13336.09,2,3
50,23,106164.64,119874.64,13710,2,3
51,23,109060.04,123143.95,14083.9,2,3
52,23,111955.44,126413.26,14457.81,2,3
53,23,114850.84,129682.56,14831.72,2,3
54,23,117746.24,132951.87,15205.63,2,3
55,23,120641.64,136221.18,15579.54,2,3
56,23,123537.04,139490.49,15953.45,2,3
57,23,126432.44,142759.8,16327.36,2,3
58,23,129327.84,146029.11,16701.27,2,3
59,23,132223.24,149298.41,17075.18,2,3
60,23,135118.64,152567.72,17449.09,2,3
61,23,138014.04,155837.03,17822.99,2,3
62,23,140909.44,159106.34,18196.9,2,3
63,23,143804.84,162375.65,18570.81,2,3
64,23,146700.24,165644.96,18944.72,2,3
65,23,149595.63,168914.26,19318.63,2,3
