userHours,eocHourly,locTotalNoContract,locTotal,increaseOverCurrent,numCOLAs,numSteps
121,24,286798.96,320418.24,33619.29,2,2
122,24,289462.73,323394.27,33931.54,2,2
123,24,292126.49,326370.29,34243.79,2,2
124,24,294790.26,329346.31,34556.05,2,2
125,24,297454.03,332322.33,34868.3,2,2
126,24,300117.8,335298.35,35180.55,2,2
127,24,302781.56,338274.37,35492.81,2,2
128,24,305445.33,341250.39,35805.06,2,2
129,24,308109.1,344226.41,36117.31,2,2
130,24,310772.87,347202.43,36429.57,2,2
131,24,313436.63,350178.45,36741.82,2,2
132,24,316100.4,353154.47,37054.07,2,2
133,24,318764.17,356130.5,37366.33,2,2
134,24,321427.94,359106.52,37678.58,2,2
135,24,324091.7,362082.54,37990.83,2,2
136,24,326755.47,365058.56,38303.09,2,2
137,24,329419.24,368034.58,38615.34,2,2
138,24,332083.01,371010.6,38927.59,2,2
139,24,334746.77,373986.62,39239.85,2,2
140,24,337410.54,376962.64,39552.1,2,2
